Date,Site Name,Site Number,Item Type,Serial Number,Tracker,Tracker IMEI,Sim Card Number,Geofence Meters,Latitude,Longitude,Installation Status
,New Russia Lib Ls,604248,,,,,,,5.546846667,-0.251361667,Uninstalled
,Effiduase 1 Lib H520V,603634,,,,,,,6.862463333,-1.394158333,Uninstalled
,Jukwahemang Lib H509V Ls,603581,,,,,,,5.9545367,-2.171305,Uninstalled
,Okyerekrom Btf Lib H509V,603592,,,,,,,6.719895,-1.519263333,Uninstalled
,Amrahia 3 Lib H505V,603681,,,,,,,5.7685631,-0.1288005,Uninstalled
,Nautical Drive Lib H505V,603701,,,,,,,5.60286131,-0.062658117,Uninstalled
,Mafia Lib H505V Ls,603582,,,,,,,6.4623617,-2.9299279,Uninstalled
,Takoradi Beach Road Ls,604249,,,,,,,4.88965318,-1.76205001,Uninstalled
,Tchmn Wiaso Lib H505V Ls,604257,,,,,,,7.571893333,-1.95631,Uninstalled
,Gugissberg Aven,603708,,,,,,,5.537473333,-0.257778333,Uninstalled
,Wiaa Ls,604222,,,,,,,6.766283333,-1.591735,Uninstalled
,Hwereso Ls H505V,604307,,,,,,,6.67807,-1.384351667,Uninstalled
,Winneba,604309,,,,,,,5.3481071,-0.6225435,Uninstalled
,Abelemkpe Ls,604310,,,,,,,5.603156667,-0.214508333,Uninstalled
,Akapporiso Ls,604236,,,,,,,6.197825,-1.626966667,Uninstalled
,North Kanneshie,604286,,,,,,,5.592864395,-0.233784178,Uninstalled
,Mankessim Ls,604313,,,,,,,5.2027111,-1.0823723,Uninstalled
,Sunyani South Ridge H515,604280,,,,,,,7.34002,-2.34883,Uninstalled
,Sampa Lib H525V,604279,,,,,,,7.339841667,-2.34887,Uninstalled
,Glory Land,604277,,,,,,,5.575775996,-0.257162863,Uninstalled
,Yamoransa H515V,604314,,,,,,,5.1489748,-1.2064362,Uninstalled
,Kissi H522V,604315,,,,,,,5.1131117,-1.4437617,Uninstalled
,Yendi Lib H522V,604273,,,,,,,9.45308,-0.009488333,Uninstalled
,Bawku Lib H515V Ls,604271,,,,,,,11.0621508,-0.229172,Uninstalled
,Korle-Bu Ls,604237,,,,,,,5.538613333,-0.237291667,Uninstalled
,Adiebfakybr Lib H505V,604219,,,,,,,6.65926,-1.637615,Uninstalled
,Supomu Dunkwau Lib Ls,604316,,,,,,,5.12590015,-1.60975404,Uninstalled
,Konongo Lib,604306,,,,,,,6.619268333,-1.216576667,Uninstalled
,Palladium Lib H505V Ls,604216,,,,,,,5.5372672,-0.2126123,Uninstalled
,Aflao Lib,604287,,,,,,,6.115248333,1.191228333,Uninstalled
,Central University,604292,,,,,,,5.7728737,0.0818439,Uninstalled
,Kwabrafoso Lib H505V,604235,,,,,,,6.19751,-1.655073333,Uninstalled
,Bunso,604300,,,,,,,6.2867117,-0.4652217,Uninstalled
,Obuasi Bogbiri Lib,604234,,,,,,,6.2073418,-1.6799378,Uninstalled
,Duase Palace Lib H515V,604233,,,,,,,6.714181667,-1.606365,Uninstalled
,Ataasemanso Lib,604231,,,,,,,6.6377,-1.627781667,Uninstalled
,Nyankyerease Lib,604230,,,,,,,6.713618333,-1.681135,Uninstalled
,Kokomlemle,604301,,,,,,,5.5785434,-0.2128813,Uninstalled
,Enyiresi Lib H505V Ls,604302,,,,,,,6.4367724,-0.5860185,Uninstalled
,Kenyasi Adwumam Lib H505,604229,,,,,,,6.74861,-1.554445,Uninstalled
,Akatsi Lib H505V,604296,,,,,,,6.1187002,0.807339167,Uninstalled
,Abbosey Okai Lib,604295,,,,,,,5.564013333,-0.235003333,Uninstalled
,Parkoso Lib,604228,,,,,,,6.718411667,-1.541121667,Uninstalled
,Denkyemuoso Lib,604226,,,,,,,6.68852,-1.680165,Uninstalled
,Hwakpo Ls,604293,,,,,,,5.8907794,0.4751818,Uninstalled
,Nkawanda No 2 Lib H515V,604303,,,,,,,6.49753,-0.691976667,Uninstalled
,Ejisu Lib H505V,604225,,,,,,,6.718545,-1.479936667,Uninstalled
,Kwamo Ls H535V,604224,,,,,,,6.715688333,-1.499998333,Uninstalled
,Asuboi Lib H505V,604290,,,,,,,5.9696433,-0.4203917,Uninstalled
,Breman Drive Lib,604214,,,,,,,6.741796667,-1.637345,Uninstalled
,Hamdalla Lib H535V,604267,,,,,,,9.3952567,-0.8204401,Uninstalled
,Gumani Junction H535V Ls,604265,,,,,,,9.4356811,-0.8428228,Uninstalled
,Berekum Ls,604260,,,,,,,7.5141373,-2.5473186,Uninstalled
,Chorkor Lib H505V,604258,,,,,,,5.52553,-0.256953333,Uninstalled
,Ahinsin Estate Ls,604199,,,,,,,6.664628333,-1.59129,Uninstalled
,Dompse Nw Site Lib H505V,604198,,,,,,,6.642416667,-1.58795,Uninstalled
,Sokoban New Site H515V,604197,,,,,,,6.62626,-1.609803333,Uninstalled
,Tadi Apt Ridge Lib H505V,604247,,,,,,,4.90897251,-1.7807736,Uninstalled
,Odwo Lib H505V,604196,,,,,,,6.651791667,-1.609891667,Uninstalled
,Timber Market Lib H505V,604194,,,,,,,5.546886667,-0.217813333,Uninstalled
,Uesd Lib H505V,604179,,,,,,,6.0514219,-0.0075297,Uninstalled
,Perseus Mines 509V,604178,,,,,,,5.9571411,-1.9311335,Uninstalled
,Ashtown Lib,604175,,,,,,,6.704338333,-1.6184,Uninstalled
,Frafraha Lib H505V,604172,,,,,,,5.719395,-0.1675917,Uninstalled
,Tadi Mpints Lib H505V Ls,604256,,,,,,,4.97231512,-1.72111556,Uninstalled
,Sekondi Esikado Lib H509,604254,,,,,,,4.94208356,-1.71336523,Uninstalled
,Comm 25 Est Lib H509V,603729,,,,,,,5.72406658,0.01983918,Uninstalled
,Takoradi West Fijai Lib,604252,,,,,,,4.94484114,-1.75407579,Uninstalled
,Takoradi New Site Ls,604250,,,,,,,4.91694412,-1.76193655,Uninstalled
,Bank Of Ghana Lib,604261,,,,,,,9.4050776,-0.8409796,Uninstalled
,Kibi Lib H505V,604330,,,,,,,6.1679623,-0.5460509,Uninstalled
,Adonkrono Ls,604329,,,,,,,6.0808032,-0.8268,Uninstalled
,Aburi Ls,604328,,,,,,,5.8491882,-0.1762866,Uninstalled
,Koforidua Galloway,604239,,,,,,,6.0721933,-0.2609017,Uninstalled
,Koforidua Nsukwao,604240,,,,,,,6.1010233,-0.26375,Uninstalled
,Effiduase Ls,604242,,,,,,,6.844628333,-1.393341667,Uninstalled
,Gbawe Lib H505 Ls,604317,,,,,,,5.576411667,-0.301251667,Uninstalled
,Manhyia Lib H505V,604212,,,,,,,6.701611667,-1.61336,Uninstalled
,Tafo (Hospital Area),604211,,,,,,,6.723661667,-1.61461,Uninstalled
,Pankrono Lib,604210,,,,,,,6.753018333,-1.613388333,Uninstalled
,Abofrem Lib H509V,604324,,,,,,,6.5109547,-2.345114,Uninstalled
,Salvation Link Lib H509V,603705,,,,,,,5.6193362,-0.2553259,Uninstalled
